,Strike,Xlocal,Ylocal,DateStrike,Drone(months)
0,3,612.1,225.7,2015-09-21,50.2
1,5,827.6,164.8,2015-10-06,49.7
2,6,274.2,296.6,2016-06-19,41.3
3,7,148.4,432.6,2016-06-19,41.3
4,8a,849.1,362.5,2016-06-30,40.9
5,8b,885.1,371.5,2016-06-30,40.9
6,9,448.8,209.9,2016-06-30,40.9
7,10,498.8,351.1,2016-06-30,40.9
8,12,451.7,130.3,2015-12-15,47.4
9,16,936.3,291.5,2016-06-30,40.9
10,17,331.5,293.1,2016-07-27,40.1
11,18,683.3,18.0,2016-09-05,38.7
12,20,555.3,432.4,2016-06-19,41.3
13,27,789.0,43.9,2017-08-25,27.1
14,30,102.8,415.5,2017-08-28,27.0
15,18005,40.1,385.6,2018-06-01,17.9
16,18007,567.8,143.3,2018-06-09,17.6
17,18012,942.7,143.4,2018-07-02,16.9
18,19001,855.6,426.9,2019-06-01,5.9
19,19008,148.4,432.6,2019-07-10,4.6
20,19009,900.9,296.8,2019-07-14,4.5
21,19021,169.8,385.8,2019-10-05,1.8
