,nstrike,datestrike,diflastimg
0,3,2015-09-21,50.23511776422514
1,5,2015-10-06,49.742294502967205
2,6,2016-06-19,41.29858929341465
3,7,2016-06-19,41.29858929341465
4,8a,2016-06-30,40.93718556849217
5,8b,2016-06-30,40.93718556849217
6,9,2016-06-30,40.93718556849217
7,10,2016-06-30,40.93718556849217
8,12,2015-12-15,47.44245261709686
9,16,2016-06-30,40.93718556849217
10,17,2016-07-27,40.050103698227886
11,18,2016-09-05,38.73590833487341
12,20,2016-06-19,41.29858929341465
13,27,2017-08-25,27.105279369186224
14,30,2017-08-28,27.00671471693464
15,18005,2018-06-01,17.90591182570484
16,18007,2018-06-09,17.643072753033945
17,18012,2018-07-02,16.887410419105116
18,19001,2019-06-01,5.9138791350951765
19,19008,2019-07-10,4.632538655824555
20,19009,2019-07-14,4.501119119489107
21,19021,2019-10-05,1.7741637405285529
