,Id,nstrike,date,F_AREA,datestrike,dategap,month,diflastimg
0,25,10,2017-08-31,93.9584709092,2016-06-30,2017-08-31,14.029035503809114,40.93718556849217
1,15,12,2016-05-18,195.21981216,2015-12-15,2016-05-18,5.092507032998625,47.44245261709686
2,16,12,2016-06-01,474.698853303,2015-12-15,2016-06-01,5.552475410172693,47.44245261709686
3,17,12,2016-07-13,487.260453768,2015-12-15,2016-07-13,6.932380541694902,47.44245261709686
4,18,12,2016-09-22,493.319720376,2015-12-15,2016-09-22,9.26507731164911,47.44245261709686
5,20,16,2016-12-23,163.771349532,2016-06-30,2016-12-23,5.782459598759728,40.93718556849217
6,21,16,2017-03-15,313.781890986,2016-06-30,2017-03-15,8.47656009363642,40.93718556849217
7,25,16,2017-08-31,329.736379209,2016-06-30,2017-08-31,14.029035503809114,40.93718556849217
8,25,17,2017-08-31,30.1917635467,2016-07-27,2017-08-31,13.141953633544837,40.050103698227886
9,29,17,2018-02-28,96.9797935269,2016-07-27,2018-02-28,19.088687652723877,40.050103698227886
10,31,17,2018-05-23,180.646569478,2016-07-27,2018-05-23,21.84849791576829,40.050103698227886
11,32,17,2018-07-24,220.81148677,2016-07-27,2018-07-24,23.88550072896774,40.050103698227886
12,32,18005,2018-07-24,42.6971409912,2018-06-01,2018-07-24,1.7413088564446908,17.90591182570484
13,34,18005,2018-10-26,47.120961851,2018-06-01,2018-10-26,4.829667960327727,17.90591182570484
14,35,18005,2018-11-26,75.8666022018,2018-06-01,2018-11-26,5.848169366927452,17.90591182570484
15,39,18005,2019-03-25,122.034587202,2018-06-01,2019-03-25,9.757900572907042,17.90591182570484
16,45,18005,2019-09-23,147.475801116,2018-06-01,2019-09-23,15.737489476169943,17.90591182570484
17,39,18012,2019-03-25,26.2044200129,2018-07-02,2019-03-25,8.739399166307317,16.887410419105116
18,45,18012,2019-09-23,49.0559982547,2018-07-02,2019-09-23,14.718988069570218,16.887410419105116
19,45,19001,2019-09-23,28.7776771613,2019-06-01,2019-09-23,3.7454567855602785,5.9138791350951765
20,46,19021,2019-10-17,13.3557019021,2019-10-05,2019-10-17,0.3942586090063451,1.7741637405285529
21,47,19021,2019-11-28,80.2799022029,2019-10-05,2019-11-28,1.7741637405285529,1.7741637405285529
22,17,20,2016-07-13,38.4756145901,2016-06-19,2016-07-13,0.7885172180126901,41.29858929341465
23,32,30,2018-07-24,152.278601571,2017-08-28,2018-07-24,10.84211174767449,27.00671471693464
24,34,30,2018-10-26,178.804834544,2017-08-28,2018-10-26,13.930470851557526,27.00671471693464
25,35,30,2018-11-26,234.054929175,2017-08-28,2018-11-26,14.948972258157252,27.00671471693464
26,36,30,2018-12-26,255.139795811,2017-08-28,2018-12-26,15.934618780673114,27.00671471693464
27,15,3,2016-05-18,371.463480851,2015-09-21,2016-05-18,7.885172180126902,50.23511776422514
28,16,3,2016-06-01,556.349596067,2015-09-21,2016-06-01,8.34514055730097,50.23511776422514
29,17,3,2016-07-13,691.388002762,2015-09-21,2016-07-13,9.72504568882318,50.23511776422514
30,25,3,2017-08-31,691.388002762,2015-09-21,2017-08-31,23.326967699542084,50.23511776422514
31,22,6,2017-04-21,78.0709204177,2016-06-19,2017-04-21,10.0535945296618,41.29858929341465
32,25,6,2017-08-31,131.32817975,2016-06-19,2017-08-31,14.390439228731596,41.29858929341465
33,27,6,2017-10-30,168.61382303,2016-06-19,2017-10-30,16.361732273763323,41.29858929341465
34,29,6,2018-02-28,168.61382303,2016-06-19,2018-02-28,20.337173247910634,41.29858929341465
35,25,8b,2017-08-31,141.432152494,2016-06-30,2017-08-31,14.029035503809114,40.93718556849217
36,28,8b,2017-11-29,331.048858901,2016-06-30,2017-11-29,16.9859750713567,40.93718556849217
37,20,9,2016-12-23,18.9362175071,2016-06-30,2016-12-23,5.782459598759728,40.93718556849217
